grid_id,active_atelerix,invest_atelerix,active_martes,invest_martes,active_eliomys,invest_eliomys,active_oryctolagus,invest_oryctolagus,corridors
cell_23_38,0,0,0,0,0,0,0,0,
cell_24_17,0,0,0,0,0,0,0,0,
cell_24_18,0,0,0,0,0,0,0,0,
cell_24_19,0,0,0,0,0,0,0,0,
cell_24_20,0,0,0,0,0,0,0,0,
cell_24_21,0,0,0,0,0,0,0,0,
cell_24_22,0,0,0,0,0,0,0,0,
cell_24_23,1,1,0,0,0,0,0,0,"cell_24_24,cell_23_24,cell_25_22"
cell_24_24,0,0,1,1,0,0,0,0,"cell_24_25,cell_24_23,cell_23_25"
cell_24_25,0,0,1,1,0,0,0,0,"cell_24_24,cell_23_25,cell_23_26,cell_25_26,cell_23_24"
cell_24_26,0,0,0,0,0,0,0,0,
cell_24_27,0,0,0,0,0,0,0,0,
cell_24_28,0,0,0,0,0,0,0,0,
cell_24_29,0,0,0,0,0,0,1,1,"cell_24_30,cell_25_29,cell_25_30"
cell_24_30,1,1,0,0,0,0,0,0,"cell_24_31,cell_24_29,cell_25_30,cell_25_29"
cell_24_31,0,0,1,1,0,0,0,0,"cell_24_30,cell_23_32,cell_25_30"
cell_24_32,0,0,0,0,0,0,0,0,
cell_24_33,0,0,1,1,0,0,0,0,"cell_24_34,cell_23_33,cell_25_33,cell_23_32"
cell_24_34,0,0,0,0,1,1,0,0,"cell_24_35,cell_24_33,cell_23_35"
cell_24_35,0,0,1,1,0,0,0,0,"cell_24_36,cell_24_34,cell_23_35"
cell_24_36,0,0,0,0,1,1,0,0,"cell_24_35,cell_23_35"
cell_24_37,0,0,0,0,0,0,0,0,
cell_24_38,0,0,0,0,0,0,0,0,
cell_25_17,0,0,0,0,0,0,0,0,
cell_25_18,0,0,0,0,0,0,0,0,
cell_25_19,0,0,0,0,0,0,0,0,
cell_25_20,0,0,0,0,0,0,0,0,
cell_25_21,0,0,0,0,0,0,0,0,
cell_25_22,1,1,0,0,0,0,0,0,cell_24_23
cell_25_23,0,0,0,0,0,0,0,0,
cell_25_24,0,0,0,0,0,0,0,0,
cell_25_25,1,0,0,0,0,0,0,0,
cell_25_26,0,0,1,0,0,0,0,0,"cell_26_27,cell_24_25"
cell_25_27,0,0,0,0,0,0,0,0,
cell_25_28,0,0,0,0,0,0,0,0,
cell_25_29,0,0,1,1,0,0,0,0,"cell_25_30,cell_24_29,cell_26_29,cell_24_30,cell_26_30"
cell_25_30,0,0,1,1,0,0,0,0,"cell_25_29,cell_24_30,cell_26_30,cell_24_31,cell_26_31,cell_24_29,cell_26_29"
cell_25_31,0,0,0,0,0,0,0,0,
cell_25_32,0,0,0,0,0,0,0,0,
